DATE,PP,TG,SS,RR,TX,SD,QQ,CC,TN,HU,tmax,tmin,rain,sun
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,4.6,-0.4,91.1,69.4
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.7,-2.3,61.8,55.7
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.1,-3.7,73.7,42.6
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,1.5,-7.4,71.0,33.4
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,6.5,0.9,134.8,105.4707182320442
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.5,-3.0,42.8,56.4
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,4.6,-2.9,117.8,63.1
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.5,-3.5,171.7,47.0
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,4.4,-2.1,141.5,103.43448275862067
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.4,-3.5,49.6,60.6
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,4.8,-0.2,77.4,71.5
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,1.4,-5.7,72.8,55.2
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.8,-2.6,59.9,58.5
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,4.8,-3.9,97.7,78.9
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.0,-1.4,133.3,16.1
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.0,-3.5,44.8,72.4
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.7,-2.4,71.6,33.6
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.0,-2.2,54.1,65.3
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.1,-3.7,41.2,38.9
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.4,-4.7,47.5,42.9
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.2,-3.1,56.8,72.0
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.3,-2.6,96.7,44.9
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.7,-2.9,61.0,59.9
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.8,-4.6,45.1,57.1
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.5,-2.4,82.3,55.7
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,4.8,-1.9,90.6,81.2
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,4.4,-1.5,122.0,34.5
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,5.3,0.1,135.4,36.5
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,5.8,0.7,99.8,76.7
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,2.1,-3.6,48.7,61.8
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.5,-2.2,44.9,146.62528473804102
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,3.4,-2.1,66.5,27.1
1979-01-01,1019.0,-4.1,7.0,0.4,2.3,0.9,5.2,0.2,-7.5,8.3,4.7,-4.2,68.2,46.69330855018587
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,4.5,0.3,54.2,71.9
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,4.8,-0.3,19.2,58.5
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,2.5,-1.8,73.8,57.3
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,1.5,-5.3,18.2,71.5
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,6.7,1.9,133.0,105.2353591160221
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,3.5,-1.3,46.3,44.0
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,4.4,-0.4,81.9,58.1
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,2.2,-2.6,73.2,60.3
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,4.9,-0.3,64.6,102.93965517241378
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,2.8,-1.1,30.6,49.2
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,5.0,0.8,90.6,61.5
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,2.2,-3.4,47.4,76.8
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,4.5,-0.4,44.0,52.9
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,5.3,-1.5,67.3,60.4
1979-02-01,994.9,5.2,0.0,10.1,4.0,0.0,1.9,0.8,1.2,9.6,3.0,-0.9,54.7,62.2
