Year,Avg_Tmax,Avg_Tmean,Total_Rainfall,Days_Recorded,Hot_Days_Over_28C,Heavy_Rain_Days_Over_20mm,Tmean_Anomaly_vs_1979_2000,Tmean_10yr_Rolling
1979,13.759178082191783,9.986575342465754,684.7,365,1.0,3.0,-1.0792497574800315,9.986575342465754
1980,14.176229508196721,10.370491803278687,588.1,366,1.0,3.0,-0.6953332966670978,10.17853357287222
1981,14.063561643835616,10.32,679.6,365,1.0,4.0,-0.7458250999457849,10.225689048581481
1982,15.004657534246574,10.998904109589041,649.8,365,4.0,5.0,-0.06692099035674381,10.41899281383337
1983,15.248767123287672,11.237260273972604,535.0,365,17.0,3.0,0.17143517402681852,10.582646305861218
1984,14.923497267759563,10.942349726775957,641.7,366,9.0,4.0,-0.12347537316982837,10.642596876013675
1985,13.935342465753424,10.095890410958905,526.3,365,2.0,2.0,-0.9699346889868803,10.564495952434422
1986,13.91095890410959,9.998356164383562,637.0,365,6.0,4.0,-1.067468935562223,10.493728478928064
1987,14.010439560439561,10.328296703296703,653.4,364,5.0,3.0,-0.7375283966490827,10.475347170524579
1988,14.652732240437157,10.87377049180328,552.1,366,1.0,2.0,-0.19205460814250586,10.51518950265245
1989,16.313698630136987,12.095890410958905,533.7,365,17.0,2.0,1.0300653110131197,10.726121009501764
1990,16.24931129476584,12.002479338842974,425.4,363,10.0,0.0,0.936654238897189,10.889319763058193
1991,14.543561643835615,10.711506849315068,533.2,365,2.0,3.0,-0.3543182506307172,10.9284704479897
1992,15.112568306010928,11.228142076502733,649.4,366,4.0,4.0,0.16231697655694788,10.951394244681069
1993,14.667671232876712,10.854794520547944,613.9,365,2.0,3.0,-0.21103057939784087,10.913147669338603
1994,15.594794520547946,11.72054794520548,630.8,365,10.0,1.0,0.6547228452596947,10.990967491181555
1995,16.161263736263734,11.890384615384617,539.2,364,25.0,1.0,0.8245595154388319,11.170416911624127
1996,14.535792349726776,10.550819672131148,420.8,366,9.0,1.0,-0.5150054278146374,11.225663262398886
1997,16.123561643835618,12.043835616438356,401.6,365,10.0,1.0,0.9780105164925708,11.39721715371305
1998,15.395890410958904,11.66191780821918,685.1,365,5.0,3.0,0.5960927082733942,11.47603188535464
1999,15.816438356164383,11.953424657534246,662.1,365,7.0,3.0,0.8875995575884605,11.461785310012175
2000,15.178688524590163,11.582513661202185,820.4,366,2.0,4.0,0.5166885612563998,11.419788742248096
2001,15.05095890410959,11.339452054794519,705.3,365,13.0,0.0,0.27362695484873356,11.48258326279604
2002,15.784383561643835,12.084383561643836,786.7,365,4.0,2.0,1.018558461698051,11.568207411310151
2003,16.167955801104974,12.026795580110496,475.9,362,15.0,1.0,0.9609704801647112,11.685407517266405
2004,15.549726775956284,11.868579234972676,619.7,366,7.0,1.0,0.8027541350268912,11.700210646243127
2005,15.713424657534246,11.829589041095891,450.0,365,13.0,1.0,0.7637639411501063,11.694131088814254
2006,10.119337016574585,7.01767955801105,297.6,181,0.0,0.0,-4.048145541934735,11.340817077402244
2007,13.201646090534979,9.53991769547325,443.5,243,0.0,3.0,-1.5259074044725356,11.090425285305733
2008,10.587912087912088,7.17967032967033,317.6,182,0.0,1.0,-3.8861547702754553,10.642200537450849
2009,10.527472527472527,7.324175824175824,444.0,182,0.0,2.0,-3.7416492757699613,10.179275654115006
2010,8.568508287292818,5.368508287292818,268.8,181,0.0,1.0,-5.697316812652967,9.55787511672407
2011,13.007547169811321,9.473584905660378,247.0,212,1.0,0.0,-1.5922401942854076,9.371288401810656
2012,15.197540983606558,11.329781420765027,707.4,366,6.0,3.0,0.2639563208192417,9.295828187722773
2013,14.779940119760479,10.92065868263473,478.7,334,15.0,2.0,-0.14516641731105473,9.185214497975199
2014,16.626575342465753,12.659999999999998,864.0,365,6.0,3.0,1.5941749000542131,9.26435657447793
2015,15.969505494505494,12.107417582417584,562.0,364,2.0,2.0,1.041592482471799,9.2921394286101
2016,15.895628415300546,11.919125683060109,590.6,366,9.0,3.0,0.8533005831143239,9.782284041115004
2017,16.081043956043956,12.17445054945055,572.2,364,8.0,1.0,1.108625449504764,10.045737326512734
2018,8.806666666666667,5.662222222222223,168.2,90,0.0,0.0,-5.4036028777235625,9.893992515767923
2019,15.831147540983608,11.9,171.4,61,1.0,1.0,0.8341749000542151,10.35157493335034
