Year,Avg_Tmax,Avg_Tmean,Total_Rainfall,Days_Recorded,Hot_Days_Over_28C,Heavy_Rain_Days_Over_20mm,Tmean_Anomaly_vs_1979_2000,Tmean_10yr_Rolling
1979,13.759178082191784,9.986575342465754,684.7,365,1.0,3.0,-1.0792497574800315,9.986575342465754
1980,14.17622950819672,10.370491803278687,588.1,366,1.0,3.0,-0.6953332966670978,10.17853357287222
1981,14.063561643835616,10.32,679.6,365,1.0,4.0,-0.7458250999457849,10.225689048581481
1982,15.004657534246574,10.99890410958904,649.8,365,4.0,5.0,-0.06692099035674559,10.41899281383337
1983,15.248767123287672,11.237260273972604,535.0,365,17.0,3.0,0.17143517402681852,10.582646305861218
1984,14.923497267759563,10.942349726775957,641.7,366,9.0,4.0,-0.12347537316982837,10.642596876013673
1985,13.935342465753424,10.095890410958903,526.3,365,2.0,2.0,-0.9699346889868821,10.564495952434422
1986,13.91095890410959,9.998356164383562,637.0,365,6.0,4.0,-1.067468935562223,10.493728478928062
1987,14.01043956043956,10.328296703296704,653.4,364,5.0,3.0,-0.7375283966490809,10.475347170524579
1988,14.652732240437157,10.87377049180328,552.1,366,1.0,2.0,-0.19205460814250586,10.515189502652449
1989,16.313698630136987,12.095890410958903,533.7,365,17.0,2.0,1.030065311013118,10.726121009501764
1990,16.24931129476584,12.002479338842974,425.4,363,10.0,0.0,0.936654238897189,10.889319763058193
1991,14.543561643835616,10.711506849315068,533.2,365,2.0,3.0,-0.3543182506307172,10.9284704479897
1992,15.112568306010928,11.228142076502731,649.4,366,4.0,4.0,0.1623169765569461,10.951394244681069
1993,14.667671232876712,10.854794520547944,613.9,365,2.0,3.0,-0.21103057939784087,10.913147669338603
1994,15.594794520547946,11.72054794520548,630.8,365,10.0,1.0,0.6547228452596947,10.990967491181554
1995,16.161263736263734,11.890384615384615,539.2,364,25.0,1.0,0.8245595154388301,11.170416911624127
1996,14.535792349726776,10.550819672131148,420.8,366,9.0,1.0,-0.5150054278146374,11.225663262398884
1997,16.123561643835618,12.043835616438356,401.6,365,10.0,1.0,0.9780105164925708,11.397217153713049
1998,15.395890410958904,11.66191780821918,685.1,365,5.0,3.0,0.5960927082733942,11.47603188535464
1999,15.816438356164385,11.953424657534246,662.1,365,7.0,3.0,0.8875995575884605,11.461785310012175
2000,15.178688524590164,11.582513661202183,820.4,366,2.0,4.0,0.5166885612563981,11.419788742248095
2001,15.05095890410959,11.33945205479452,705.3,365,13.0,0.0,0.27362695484873534,11.482583262796041
2002,15.784383561643835,12.084383561643836,786.7,365,4.0,2.0,1.018558461698051,11.568207411310151
2003,16.167955801104974,12.026795580110496,475.9,362,15.0,1.0,0.9609704801647112,11.685407517266407
2004,15.549726775956284,11.868579234972676,619.7,366,7.0,1.0,0.8027541350268912,11.700210646243125
2005,15.713424657534246,11.829589041095891,450.0,365,13.0,1.0,0.7637639411501063,11.694131088814254
2012,15.197540983606558,11.329781420765029,707.4,366,6.0,3.0,0.2639563208192435,11.772027263677641
2013,14.77994011976048,10.92065868263473,478.7,334,15.0,2.0,-0.14516641731105473,11.659709570297279
2014,16.626575342465753,12.659999999999998,864.0,365,6.0,3.0,1.5941749000542131,11.75951778947536
2015,15.969505494505494,12.107417582417584,562.0,364,2.0,2.0,1.041592482471799,11.774917081963695
2016,15.895628415300546,11.919125683060107,590.6,366,9.0,3.0,0.8533005831143221,11.808578284149487
2017,16.081043956043956,12.17445054945055,572.2,364,8.0,1.0,1.108625449504764,11.89207813361509
