Year,Avg_Tmax,Avg_Tmin,Total_Rainfall,Months_Recorded,Hot_Months_Tmax_Over_25C,Wet_Months_Rain_Over_100mm,Tmax_Anomaly_vs_1979_2000,Tmax_10yr_Rolling
1853,12.816666666666668,5.116666666666666,692.0,12,0.0,1.0,-0.013404533459034695,12.816666666666668
1854,14.075000000000001,5.3,449.7,12,0.0,0.0,1.2449287998742982,13.445833333333335
1855,13.173913043478262,5.365217391304348,1378.3,23,0.0,4.0,0.34384184335255874,13.355193236714976
1856,13.775,6.0,1439.0,24,0.0,2.0,0.9449287998742975,13.460144927536232
1857,14.766666666666666,6.820833333333333,1467.7,24,0.0,2.0,1.9365954665409628,13.721449275362321
1858,13.991666666666667,5.8500000000000005,1243.7,24,0.0,1.0,1.1615954665409642,13.766485507246378
1859,14.541666666666666,6.575,1699.3,24,2.0,4.0,1.7115954665409632,13.877225672877847
1860,12.630434782608695,5.5260869565217385,1841.9,23,0.0,5.0,-0.19963641751700756,13.721376811594203
1861,13.775,6.383333333333333,1355.5,24,0.0,4.0,0.9449287998742975,13.727334943639292
1862,13.608333333333333,6.629166666666666,1566.5,24,0.0,5.0,0.7782621332076296,13.715434782608696
1863,14.4,6.479166666666667,1370.7,24,0.0,2.0,1.5699287998742975,13.873768115942031
1864,13.620833333333332,5.558333333333334,1103.6,24,0.0,1.0,0.7907621332076289,13.828351449275363
1865,14.8375,6.828125,2180.5,32,0.0,8.0,2.0074287998742975,13.994710144927534
1866,13.897142857142857,6.514285714285714,2523.6,35,0.0,5.0,1.067071657017154,14.00692443064182
1867,13.213888888888889,5.897222222222222,2430.2,36,0.0,7.0,0.38381768876318567,13.851646652864043
1868,14.83888888888889,6.744444444444444,2616.8,36,2.0,9.0,2.0088176887631874,13.936368875086265
1869,13.905555555555557,6.355555555555556,2507.0,36,0.0,7.0,1.0754843554298539,13.872757763975155
1870,13.722857142857142,5.557142857142857,1663.8,35,0.0,0.0,0.8927859427314395,13.982
1871,13.46111111111111,5.919444444444444,2157.0,36,0.0,7.0,0.6310399109854075,13.95061111111111
1872,13.988888888888889,6.605555555555556,3077.6,36,0.0,11.0,1.158817688763186,13.988666666666665
1873,13.149999999999999,5.852380952380953,2929.2999999999997,42,0.0,9.0,0.3199287998742957,13.863666666666665
1874,13.137500000000001,5.6187499999999995,3509.0,48,1.0,10.0,0.30742879987429816,13.815333333333333
1875,12.895833333333334,5.902083333333334,3626.5,48,0.0,12.0,0.06576213320763102,13.621166666666667
1876,13.066666666666668,6.004166666666666,3750.4,48,0.0,11.0,0.2365954665409653,13.538119047619048
1877,12.7125,5.53125,4101.6,48,0.0,11.0,-0.11757120012570255,13.487980158730158
1878,12.80625,6.060416666666666,3187.6,48,0.0,9.0,-0.023821200125702546,13.284716269841269
1879,10.814583333333333,4.570833333333334,3330.0,48,0.0,11.0,-2.0154878667923697,12.975619047619048
1880,12.74406779661017,5.5,4046.8,59,0.0,16.0,-0.0860034035155337,12.877740112994351
1881,11.961666666666668,4.838333333333334,3942.6,60,0.0,7.0,-0.8684045334590351,12.727795668549906
1882,12.661666666666667,5.78,4650.4,60,0.0,11.0,-0.16840453345903583,12.595073446327683
1883,12.54,5.48,4930.3,70,0.0,15.0,-0.29007120012570375,12.534073446327685
1884,13.25492957746479,5.904225352112676,4378.0,71,0.0,10.0,0.4248583773390866,12.545816404074163
1885,12.04861111111111,4.731944444444444,4806.0,72,0.0,12.0,-0.7814600890145922,12.46109418185194
1886,12.143661971830987,4.995774647887324,5432.2,71,0.0,18.0,-0.6864092282947158,12.368793712368372
1887,12.31388888888889,4.597222222222222,3977.2,72,0.0,9.0,-0.5161823112368129,12.32893260125726
1888,11.63888888888889,4.775,4974.1,72,0.0,18.0,-1.1911823112368136,12.21219649014615
1889,12.447222222222223,5.405555555555555,4435.8,72,0.0,11.0,-0.38284897790348005,12.375460379035038
1890,12.529577464788733,5.267605633802817,4243.5,71,0.0,10.0,-0.30049373533696944,12.354011345852896
1891,12.134285714285713,4.78,4628.1,70,0.0,15.0,-0.6957854858399894,12.3712732506148
1892,11.720833333333333,4.248611111111111,4458.1,72,0.0,11.0,-1.1092378667923697,12.277189917281467
1893,13.712499999999999,5.629166666666666,4073.3,72,0.0,10.0,0.8824287998742957,12.394439917281465
1894,12.6875,5.480555555555556,5228.0,72,0.0,17.0,-0.1425712001257029,12.33769695953499
1895,12.523611111111112,4.709722222222222,4722.8,72,0.0,14.0,-0.30646008901459076,12.385196959534989
1896,12.963888888888889,5.65,4967.3,72,0.0,16.0,0.13381768876318567,12.467219651240779
1897,12.829166666666667,5.556944444444444,4863.7,72,0.0,12.0,-0.0009045334590354059,12.518747429018557
1898,13.675714285714285,6.115714285714286,4395.6,70,0.0,13.0,0.8456430855885824,12.722429968701096
1899,13.683098591549296,5.711267605633803,4767.6,71,1.0,9.0,0.8530273914235931,12.846017605633804
1900,12.995774647887325,5.726760563380282,5192.8,71,0.0,16.0,0.16570344776162216,12.89263732394366
1901,12.819444444444445,5.262499999999999,4489.0,72,0.0,9.0,-0.01062675568125826,12.961153196959534
1902,12.25138888888889,5.300000000000001,4341.2,72,0.0,7.0,-0.5786823112368129,13.014208752515092
1903,12.422535211267606,5.553521126760564,5946.0,71,0.0,20.0,-0.40753598885809694,12.88521227364185
1904,12.526388888888889,5.484722222222222,4763.7,72,0.0,11.0,-0.30368231123681433,12.86910116253074
1905,12.711111111111112,5.719444444444445,4343.0,72,0.0,14.0,-0.11896008901459076,12.88785116253074
1906,13.043055555555556,5.555555555555555,4645.3,72,0.0,11.0,0.21298435542985317,12.895767829197407
1907,12.365277777777777,5.3805555555555555,4821.3,72,0.0,13.0,-0.46479342234792576,12.849378940308517
1908,12.809722222222222,5.802777777777778,4627.1,72,0.0,10.0,-0.020348977903481114,12.762779733959311
1909,12.025352112676055,4.992957746478873,4724.5,71,0.0,11.0,-0.8047190874496479,12.597005086071988
1910,12.419444444444444,5.699999999999999,5206.0,72,0.0,15.0,-0.4106267556812586,12.5393720657277
1911,13.342168674698796,6.043373493975904,4964.1,83,2.0,12.0,0.5120974745730926,12.591644488753136
1912,12.30952380952381,5.660714285714286,6937.9,84,0.0,26.0,-0.5205473906018927,12.597457980816625
1913,12.761904761904763,6.117857142857143,5683.3,84,0.0,14.0,-0.06816643822094015,12.631394935880342
1914,12.80593220338983,5.78728813559322,8473.6,118,0.0,25.0,-0.024138996735873164,12.659349267330438
1915,11.745000000000001,4.9025,8711.1,120,0.0,27.0,-1.085071200125702,12.562738156219325
1916,11.866379310344827,5.407758620689655,8907.6,116,0.0,26.0,-0.9636918897808755,12.445070531698253
1917,11.103636363636365,4.385454545454545,7542.4,110,0.0,23.0,-1.7264348364893376,12.318906390284111
1918,12.043,5.149,7598.1,100,0.0,29.0,-0.7870712001257036,12.24223416806189
1919,11.319791666666667,4.213541666666667,7063.2,96,0.0,25.0,-1.5102795334590358,12.17167812346095
1920,12.25,5.580555555555556,8198.7,108,0.0,25.0,-0.5800712001257029,12.154733679016505
1921,13.68495575221239,6.199115044247788,6094.8,113,2.0,15.0,0.8548845520866877,12.189012386767866
1922,11.420833333333333,4.77,8622.3,120,0.0,22.0,-1.4092378667923704,12.100143339148818
1923,11.553153153153154,5.087387387387388,8527.2,111,0.0,25.0,-1.2769180469725487,11.979268178273657
1924,11.877966101694915,5.54406779661017,8940.0,118,0.0,32.0,-0.9521050984307884,11.886471568104165
1925,11.923529411764706,5.222689075630252,8557.9,119,0.0,21.0,-0.9065417883609967,11.904324509280634
1926,12.423529411764706,5.779831932773109,8552.5,119,0.0,21.0,-0.40654178836099675,11.960039519422622
1927,11.75677966101695,5.308474576271187,9458.8,118,0.0,30.0,-1.0732915391087534,12.025353849160684
1928,12.333913043478262,5.52,8606.2,115,0.0,30.0,-0.4961581566474411,12.054445153508507
1929,12.083333333333334,4.887037037037037,7291.7,108,0.0,25.0,-0.746737866792369,12.130799320175175
1930,11.858677685950415,5.473553719008264,9409.2,121,0.0,34.0,-0.9713935141752881,12.091667088770217
1931,11.520338983050847,5.402824858757062,13020.7,177,0.0,38.0,-1.3097322170748562,11.875205411854061
1932,12.085795454545455,5.798863636363636,12131.7,176,0.0,40.0,-0.7442757455802482,11.941701623975273
1933,12.788826815642457,6.095530726256983,10120.7,179,0.0,15.0,-0.041244384483245966,12.065268990224205
