Year,Total_Rainfall_Observed,Total_Rainfall_Forecast
1979,684.7,
1980,588.1,
1981,679.6,
1982,649.8,
1983,535.0,
1984,641.7,
1985,526.3,
1986,637.0,
1987,653.4,
1988,552.1,
1989,533.7,
1990,425.4,
1991,533.2,
1992,649.4,
1993,613.9,
1994,630.8,
1995,539.2,
1996,420.8,
1997,401.6,
1998,685.1,
1999,662.1,
2000,820.4,
2001,705.3,
2002,786.7,
2003,475.9,
2004,619.7,
2005,450.0,
2012,707.4,
2013,478.7,
2014,864.0,
2015,562.0,
2016,590.6,
2017,572.2,
2018,,616.5073826878561
2019,,617.1559907496808
2020,,617.8045988115056
2021,,618.4532068733304
2022,,619.1018149351551
2023,,619.7504229969799
2024,,620.3990310588047
2025,,621.0476391206294
2026,,621.6962471824542
2027,,622.344855244279
2028,,622.9934633061036
2029,,623.6420713679285
2030,,624.2906794297531
2031,,624.9392874915779
2032,,625.5878955534027
2033,,626.2365036152274
2034,,626.8851116770522
2035,,627.533719738877
2036,,628.1823278007017
2037,,628.8309358625265
2038,,629.4795439243513
2039,,630.128151986176
2040,,630.7767600480008
2041,,631.4253681098256
2042,,632.0739761716503
2043,,632.7225842334751
2044,,633.3711922952998
2045,,634.0198003571246
2046,,634.6684084189494
2047,,635.3170164807741
2048,,635.9656245425989
2049,,636.6142326044237
2050,,637.2628406662484
